Dialogue ID,Character Name,Dialogue,Topic
7242,Albus Dumbledore,"Lily and James put their faith in the wrong person. Rather like you, Severus.",threats
243,Albus Dumbledore,"I have a few start of term notices I wish to announce. The first years please note that the dark forest is strictly forbidden to all students. Also, our caretaker, Mr. Filch  has asked me to remind you that the 3rd floor corridor on the right hand side is out of bounds to everyone who does not wish to die a most painful death. Thank you.",hogwarts academics
7351,Albus Dumbledore,"I have always prized my ability to turn a phrase -- words are, in my",mentoring
1369,Albus Dumbledore,"The truth. Tell them Hogwarts is no longer safe. It is as we feared, Minerva. The Chamber of Secrets has indeed been opened again.",threats
7338,Albus Dumbledore,True. But ask yourself this: were you calling them? Or were they calling you?,mentoring
4699,Albus Dumbledore,"Wand out, Harry.",magic
2192,Albus Dumbledore,Not a single professor inside this castle would help Sirius Black enter it. I'm quite convinced the castle is safe... and I'm more than willing to send the students back to their houses.,hogwarts academics
1804,Albus Dumbledore,"And now, Mr. Weasley, if you would, have an owl deliver these release papers to Azkaban? I believe we- we want our gamekeeper back. Harry first, I want to thank you, Harry. You must have shown me real loyalty down in the Chamber. Nothing but that could have called Fawkes to you. And, um second, I sense that something is troubling you. Am I right, Harry?",magical creatures
2178,Albus Dumbledore,"Dear lady, who did this to you?",threats
4939,Albus Dumbledore,And what of your activities outside the classroom?  Do they bring you satisfaction?,social dynamics
3478,Albus Dumbledore,"Today we acknowledge a really terrible loss. Cedric Diggory was as you all know, exceptionally hard working, intricately fair minded. And most importantly a fierce fierce friend. I think therefore you have the right to know exactly how he died. You see, Cedric Diggory was murdered by Lord Voldemort. The ministry of magic does not wish me to tell you this. But not to do so I think would be an insult to his memory. Now the pain we all feel at this dreadful loss reminds me, reminds us that while we may come from different places and speak in different tongues, our hearts beat as one. In light of recent events the bonds of friendship we made this year will be more important than ever. Remember that and Cedric Diggory will not have died in vain, you remember that. And we'll celebrate a boy who was kind and honest and brave and true right to the very end.",mentoring
7324,Albus Dumbledore,"Certain? No. Little is certain in this world, Harry. Call it an educated guess.",mentoring
2180,Albus Dumbledore,"Secure the castle, Mr. Filch. The rest of you, to the Great Hall.",strategy
7353,Albus Dumbledore,"I've never put much stock in miracles, Harry. On the other hand, I can attest wholly to the extensive advantages of a related phenomenon.",mentoring
1,Albus Dumbledore,I should have known that you would be here...Professor McGonagall.,strategy
4587,Albus Dumbledore,Do you remember your first year here? When you lay in the hospital wing fresh from your confrontation with Voldemort?,threats
437,Albus Dumbledore,"SILLLLLEEENNNNCEEEEE!  Everyone will please, not panic. Now, Prefects will lead their houses back to the dormitories. Teachers will follow me to the dungeons.",hogwarts academics
1268,Albus Dumbledore,"We will be able to cure her, Argus. As I understand it, Madame Sprout has a very healthy growth of Mandrakes. When matured, a potion will be made which will revive Mrs. Norris. And in the meantime, I strongly recommend caution to all.",magic
4147,Albus Dumbledore,"Ah, yes. I was wondering when we'd hit that little snag.",strategy
4553,Albus Dumbledore,"Harry, I owe you this explanation, to show you the failings of an old man.",mentoring
3301,Albus Dumbledore,I want all the judges over here now.,strategy
2940,Albus Dumbledore,Did you ask one of the older students to do it for you?,hogwarts academics
859,Albus Dumbledore,"He has enough Elixir to set his affairs in order. But yes, he will die.",threats
5545,Albus Dumbledore,Belonged to Voldemort's mother. It was difficult to find and...,threats
4557,Albus Dumbledore,"Sirius told me you believed there was a snake inside of you. This was Voldemort attempting to manipulate you. To protect you from this, I had you study Occlumency.",threats
4890,Albus Dumbledore,"Today, of course, the world knows him by another name.  Which is why, as I stand looking out upon you all tonight, I am reminded of a sobering fact.  Each day, every hour, this very minute perhaps, dark forces attempt to penetrate this castle.  But in the end, their greatest weapon remains... you.",threats
2174,Albus Dumbledore,Mr. Filch? Round up the ghosts. Tell them to search every painting in the castle to find the Fat Lady.,strategy
5648,Albus Dumbledore,"Like cursing Katie Bell and hoping she would, in turn, bear a cursed necklace to me?  Like replacing a bottle of mead with one laced with poison.  Forgive me, Draco, but these are attempts so feeble I cannot help but question if your heart has been really in them. I'm curious.  When Voldemort gave you this task, when he asked you to kill me, was it in a whisper?",threats
2046,Albus Dumbledore,"Our Care of Magical Creatures teacher... has decided to retire... in order to spend more time with his remaining limbs. Fortunately, I'm delighted to announce... that his place will be taken by none other... than our own Rubeus Hagrid. Finally, on a more disquieting note... at the request of the Ministry of Magic... Hogwarts will, until further notice, play host to the dementors of Azkaban... until such a time as Sirius Black is captured. The dementors will be stationed at every entrance to the grounds. Now whilst I've been assured... that their presence will not disrupt our day-to-day activities... a word of caution. Dementors are vicious creatures. They'll not distinguish... between the one they hunt and the one who gets in their way. Therefore, I must warn each and every one of you... to give them no reason to harm you. It is not in the nature of a dementor to be forgiving. But you know, happiness can be found... even in the darkest of times... if one only remembers to turn on the light.",threats
